"Name","Ticker","FundId","Firm Name ID","Firm Name","Branding Name ID","Branding Name","Inception 
Date","Listing Date","Obsolete 
Date","Obsolete 
Type","Merged Into 
Security","Merged into 
Security ID","Converted From Date","Converted From Name","Converted From Date","Converted From Name","Investment Type","US Category Group","Morningstar Category","Index 
Fund","Fund of 
Funds","Active Non Transparent","Tax Managed","Advisor","Domicile","Manager Name","Oldest 
Share Class","Ticker of 
Fund's 
Oldest Share Class","Name of 
Fund's 
Oldest Share Class","Subadvised","Subadvisor","Sustainable Investment Overall 
2023-01","Sustainable Investment Overall","Sustainable Investment - Environmental Sector Overall 
2021-05","Sustainable Investment - ESG Fund Overall 
2021-05","Estimated Share Class Net Flow (Yearly) 
Year2019 
USD","Estimated Share Class Net Flow (Yearly) 
Year2020 
USD","Estimated Share Class Net Flow (Yearly) 
Year2021 
USD","Estimated Share Class Net Flow (Yearly) 
Year2022 
USD","Estimated Share Class Net Flow (Yearly) 
Year2023 
USD","Net Assets - share class (Monthly) 
2019-01 
USD","Net Assets - share class (Monthly) 
2019-02 
USD","Net Assets - share class (Monthly) 
2019-03 
USD","Net Assets - share class (Monthly) 
2019-04 
USD","Net Assets - share class (Monthly) 
2019-05 
USD","Net Assets - share class (Monthly) 
2019-06 
USD","Net Assets - share class (Monthly) 
2019-07 
USD","Net Assets - share class (Monthly) 
2019-08 
USD","Net Assets - share class (Monthly) 
2019-09 
USD","Net Assets - share class (Monthly) 
2019-10 
USD","Net Assets - share class (Monthly) 
2019-11 
USD","Net Assets - share class (Monthly) 
2019-12 
USD","Net Assets - share class (Monthly) 
2020-01 
USD","Net Assets - share class (Monthly) 
2020-02 
USD","Net Assets - share class (Monthly) 
2020-03 
USD","Net Assets - share class (Monthly) 
2020-04 
USD","Net Assets - share class (Monthly) 
2020-05 
USD","Net Assets - share class (Monthly) 
2020-06 
USD","Net Assets - share class (Monthly) 
2020-07 
USD","Net Assets - share class (Monthly) 
2020-08 
USD","Net Assets - share class (Monthly) 
2020-09 
USD","Net Assets - share class (Monthly) 
2020-10 
USD","Net Assets - share class (Monthly) 
2020-11 
USD","Net Assets - share class (Monthly) 
2020-12 
USD","Net Assets - share class (Monthly) 
2021-01 
USD","Net Assets - share class (Monthly) 
2021-02 
USD","Net Assets - share class (Monthly) 
2021-03 
USD","Net Assets - share class (Monthly) 
2021-04 
USD","Net Assets - share class (Monthly) 
2021-05 
USD","Net Assets - share class (Monthly) 
2021-06 
USD","Net Assets - share class (Monthly) 
2021-07 
USD","Net Assets - share class (Monthly) 
2021-08 
USD","Net Assets - share class (Monthly) 
2021-09 
USD","Net Assets - share class (Monthly) 
2021-10 
USD","Net Assets - share class (Monthly) 
2021-11 
USD","Net Assets - share class (Monthly) 
2021-12 
USD","Net Assets - share class (Monthly) 
2022-01 
USD","Net Assets - share class (Monthly) 
2022-02 
USD","Net Assets - share class (Monthly) 
2022-03 
USD","Net Assets - share class (Monthly) 
2022-04 
USD","Net Assets - share class (Monthly) 
2022-05 
USD","Net Assets - share class (Monthly) 
2022-06 
USD","Net Assets - share class (Monthly) 
2022-07 
USD","Net Assets - share class (Monthly) 
2022-08 
USD","Net Assets - share class (Monthly) 
2022-09 
USD","Net Assets - share class (Monthly) 
2022-10 
USD","Net Assets - share class (Monthly) 
2022-11 
USD","Net Assets - share class (Monthly) 
2022-12 
USD","Net Assets - share class (Monthly) 
2023-01 
USD","Net Assets - share class (Monthly) 
2023-02 
USD","Net Assets - share class (Monthly) 
2023-03 
USD","Net Assets - share class (Monthly) 
2023-04 
USD","Net Assets - share class (Monthly) 
2023-05 
USD","Net Assets - share class (Monthly) 
2023-06 
USD","Net Assets - share class (Monthly) 
2023-07 
USD","Net Assets - share class (Monthly) 
2023-08 
USD","Net Assets - share class (Monthly) 
2023-09 
USD","Net Assets - share class (Monthly) 
2023-10 
USD","Net Assets - share class (Monthly) 
2023-11 
USD","Net Assets - share class (Monthly) 
2023-12 
USD"
"MainStay Candriam Emerging Mkts Dbt B","","FSUSA0043Z","0C00002DSP","New York Life Investment Management LLC","BN00000BDQ","New York Life","1998-06-01","","2024-02-20","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging Markets Bond","No","No","No","","New York Life Investment Management LLC","United States","Christopher Mey;Diliana Deltcheva;Richard Briggs;","No","MGHAX","MainStay Candriam Emerging Mkts Dbt A","Yes","Candriam","No","No","","","-1,058,797.30","-833,389.78","-512,732.64","-420,816.64","-214,482.37","3,354,893.00","3,380,387.00","3,234,578.00","3,159,435.00","3,137,330.00","3,051,638.00","2,991,789.00","2,890,504.00","2,769,494.00","2,655,514.00","2,614,909.00","2,544,632.00","2,540,513.00","2,458,870.00","1,860,024.00","1,847,804.00","1,985,648.00","1,946,240.00","2,004,501.00","1,986,954.00","1,817,681.00","1,784,840.00","1,826,225.00","1,648,626.00","1,591,085.00","1,535,819.00","1,349,540.00","1,353,258.00","1,355,659.00","1,251,325.00","1,235,940.00","1,250,105.00","1,172,152.00","1,126,604.00","1,063,599.00","1,033,133.00","990,143.00","925,360.00","866,969.00","807,446.00","804,596.00","623,416.00","625,113.00","576,430.00","486,702.00","424,380.00","448,233.00","412,500.00","425,067.00","410,062.00","371,579.00","366,312.00","361,510.00","307,754.00","308,556.00","301,232.00","241,198.00","234,569.00","242,854.00","223,528.00"
"Western Asset Emerging Markets Dbt I","","FSUSA003GH","0C00004AKN","Franklin Templeton Investments","BN000008U9","Franklin Templeton","1996-10-17","","2023-07-07","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging Markets Bond","No","No","No","","Legg Mason Partners Fund Advisor, LLC","United States","","Yes","","Western Asset Emerging Markets Dbt I","Yes","Western Asset Management Company Pte Ltd. – Singapore;Western Asset Management Company, LLC;Western Asset Management Company Limited;","No","No","","","337,747.84","-3,312,544.67","-1,597,367.29","-7,663,548.65","","24,905,582.00","25,241,951.00","25,055,196.00","25,216,538.00","24,713,231.00","25,321,426.00","25,233,687.00","24,761,004.00","26,483,003.00","26,642,703.00","26,318,337.00","25,043,423.00","25,688,769.00","26,452,458.00","21,763,431.00","20,132,043.00","21,219,579.00","21,722,504.00","21,963,653.00","26,811,165.00","21,905,836.00","21,774,783.00","22,753,888.00","22,803,524.00","22,103,269.00","21,928,363.00","22,111,117.00","22,430,515.00","22,079,877.00","21,566,790.00","21,712,628.00","21,988,104.00","21,334,016.00","20,713,144.00","20,185,342.00","20,246,124.00","19,559,463.00","18,540,946.00","17,357,247.00","16,099,312.00","13,092,294.00","11,815,482.00","12,186,854.00","10,904,838.00","9,930,981.00","9,460,033.00","10,487,050.00","9,308,698.00","9,830,148.00","4,693,019.00","4,597,287.00","4,575,141.00","4,539,313.00","3,788,211.00","","","","","",""
"Fidelity Advisor® Emerging Mkts Inc C","","FSUSA001RE","0C00001YR0","Fidelity Investments","BN000008QX","Fidelity","1997-11-03","","2018-12-07","Merged","Fidelity Advisor New Markets Income C","US31641Q6724","","","","","Open-End Fund","Taxable Bond","US Fund Emerging Markets Bond","No","No","No","","Fidelity Management & Research Company LLC","United States","John Carlson;Jonathan Kelly;","No","","Fidelity Advisor® Emerging Mkts Inc M","Yes","FMR Investment Management (U.K.) Limited;Fidelity Management & Research (Japan) Limited;FIL Investments (Japan) Limited;FIL Investment Advisors (FIA);FIL Investment Advisors (UK) Ltd;Fidelity Management & Research (HK) Ltd;FMR Co., Inc. (FMRC);","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lord Abbett Emerging Markets Currency B","","FSUSA001GB","0C00001YRZ","Lord Abbett","BN000009AU","Lord Abbett","1996-08-01","","2018-04-25","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging Markets Bond","No","No","No","","Lord, Abbett & Co LLC","United States","Steven F. Rocco;Mila Skulkina;","No","LDMAX","Lord Abbett Emerging Markets Bond A","No","","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fidelity Advisor® Emerging Mkts Inc A","","FSUSA001RE","0C00001YR0","Fidelity Investments","BN000008QX","Fidelity","1996-09-03","","2018-12-07","Merged","Fidelity Advisor New Markets Income A","US31641Q6989","","","","","Open-End Fund","Taxable Bond","US Fund Emerging Markets Bond","No","No","No","","Fidelity Management & Research Company LLC","United States","John Carlson;Jonathan Kelly;","No","","Fidelity Advisor® Emerging Mkts Inc M","Yes","FMR Investment Management (U.K.) Limited;Fidelity Management & Research (Japan) Limited;FIL Investments (Japan) Limited;FIL Investment Advisors (FIA);FIL Investment Advisors (UK) Ltd;Fidelity Management & Research (HK) Ltd;FMR Co., Inc. (FMRC);","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Federated Emerging Market Debt B","","FSUSA004N9","0C00001YQZ","Federated","BN00000P7N","Federated Hermes","1996-10-02","","2018-02-02","Merged","Federated Hermes Emerging Market Debt A","US31428U7717","","","","","Open-End Fund","Taxable Bond","US Fund Emerging Markets Bond","No","No","No","","Federated Investment Management Company","United States","Ihab L. Salib;Jason C. DeVito;Mohammed Elmi;","No","IHIAX","Federated Hermes Emerging Market Debt A","Yes","Federated Hermes (UK) LLP","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PIMCO Emerging Markets Bond Admin","","FSUSA003CX","0C00004ALK","PIMCO","BN000009NK","PIMCO","1998-09-30","","2018-10-31","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging Markets Bond","No","No","No","","Pacific Investment Management Company, LLC","United States","Yacov Arnopolin;Javier Romo;Pramol Dhawan;","No","PEBIX","PIMCO Emerging Markets Bond Instl","No","","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PIMCO Emerging Markets Bond D","","FSUSA003CX","0C00004ALK","PIMCO","BN000009NK","PIMCO","2000-03-31","","2018-03-23","Merged","PIMCO Emerging Markets Bond A","US6933915752","","","","","Open-End Fund","Taxable Bond","US Fund Emerging Markets Bond","No","No","No","","Pacific Investment Management Company, LLC","United States","Yacov Arnopolin;Javier Romo;Pramol Dhawan;","No","PEBIX","PIMCO Emerging Markets Bond Instl","No","","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Columbia Emerging Markets Bond K","","FSUSA06OBJ","0C00001YQG","Columbia Threadneedle","BN000008GG","Columbia Threadneedle","2006-02-16","","2018-03-09","Merged","Columbia Emerging Markets Bond Adv","US19766N8719","","","","","Open-End Fund","Taxable Bond","US Fund Emerging Markets Bond","No","No","No","","Columbia Mgmt Investment Advisers, LLC","United States","Adrian Hilton;Christopher Cooke;","No","REBAX","Columbia Emerging Markets Bond A","No","","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HSBC Emerging Markets Debt I","","FSUSA073K1","0C00004I53","HSBC","BN000008ZN","HSBC","2011-04-07","","2019-10-28","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging Markets Bond","No","No","No","","HSBC Global Asset Management (USA) Inc.","United States","","No","","HSBC Emerging Markets Debt S","No","","No","No","","","","","","","","50,698,000.00","50,668,144.00","50,457,039.00","50,359,462.00","50,228,819.00","52,620,333.00","53,061,494.00","51,796,586.00","52,132,308.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HSBC Emerging Markets Debt A","","FSUSA073K1","0C00004I53","HSBC","BN000008ZN","HSBC","2011-04-07","","2019-10-28","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging Markets Bond","No","No","No","","HSBC Global Asset Management (USA) Inc.","United States","","No","","HSBC Emerging Markets Debt S","No","","No","No","","","","","","","","1,587,721.00","1,569,825.00","1,563,008.00","1,464,596.00","1,460,603.00","1,521,408.00","1,504,759.00","1,439,219.00","1,443,953.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Columbia Emerging Markets Bond T","","FSUSA06OBJ","0C00001YQG","Columbia Threadneedle","BN000008GG","Columbia Threadneedle","2006-12-01","","2018-12-14","Merged","Columbia Emerging Markets Bond A","US19763P1848","","","","","Open-End Fund","Taxable Bond","US Fund Emerging Markets Bond","No","No","No","","Columbia Mgmt Investment Advisers, LLC","United States","Adrian Hilton;Christopher Cooke;","No","REBAX","Columbia Emerging Markets Bond A","No","","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aberdeen Asia Bond Institutional","","FSUSA07Y6Y","0C00001HPJ","Aberdeen","BN00000N6Y","abrdn","2007-05-01","","2019-02-21","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging Markets Bond","No","No","No","","abrdn Inc.","United States","Adam McCabe;Kenneth Akintewe;Lin-Jing Leong;Thomas Drissner;","Yes","","Aberdeen Asia Bond Institutional","Yes","Abrdn Asia Limited","Yes","Yes","","","","","","","","3,018,571.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BlackRock Sust Emerg Mkts Flex Bd Inv A","","FSUSA08O57","0C000034YC","BlackRock","BN0000088H","BlackRock","2008-02-01","","2023-12-15","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging Markets Bond","No","No","No","","BlackRock Advisors LLC","United States","","No","","BlackRock Sust Emerg Mkts Flex Bd Cl K","Yes","BlackRock International Limited","Yes","Yes","","","-703,178.95","-1,158,340.26","-725,936.30","-820,393.07","-4,835,549.45","8,498,041.00","8,153,738.00","8,192,994.00","8,039,219.00","8,012,532.00","8,576,642.00","8,794,744.00","8,200,361.00","8,088,375.00","7,823,238.00","7,643,268.00","7,761,592.00","7,814,697.00","7,967,190.00","6,507,056.00","6,549,221.00","6,805,431.00","6,309,328.00","6,686,514.00","6,574,099.00","6,516,426.00","6,604,782.00","6,817,744.00","7,488,971.00","7,709,072.00","7,557,026.00","6,772,034.00","6,907,576.00","6,978,401.00","7,014,673.00","7,002,745.00","7,040,368.00","6,892,463.00","6,503,525.00","6,182,025.00","6,000,168.00","5,816,248.00","5,524,069.00","5,472,377.00","5,099,701.00","5,202,333.00","4,827,079.00","4,677,344.00","4,594,937.00","4,352,867.00","4,342,263.00","4,552,967.00","4,504,066.00","4,950,638.00","4,834,738.00","4,898,059.00","4,838,894.00","4,560,877.00","4,713,917.00","4,733,218.00","4,552,393.00","4,214,015.00","4,045,584.00","3,918,247.00",""
"BlackRock Sust Emerg Mkts Flex Bd Inv C","","FSUSA08O57","0C000034YC","BlackRock","BN0000088H","BlackRock","2008-02-01","","2023-12-15","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging Markets Bond","No","No","No","","BlackRock Advisors LLC","United States","","No","","BlackRock Sust Emerg Mkts Flex Bd Cl K","Yes","BlackRock International Limited","Yes","Yes","","","-974,750.39","-1,024,733.87","-262,597.25","-96,801.16","-218,104.97","2,474,348.00","2,364,694.00","2,303,399.00","2,200,289.00","2,112,872.00","2,122,292.00","1,993,700.00","1,862,194.00","1,783,609.00","1,684,464.00","1,647,514.00","1,549,371.00","1,512,919.00","1,546,032.00","1,310,707.00","1,308,434.00","1,370,526.00","1,435,450.00","926,278.00","906,406.00","826,828.00","786,187.00","777,342.00","671,333.00","653,542.00","614,346.00","577,678.00","556,976.00","554,785.00","535,869.00","529,787.00","529,305.00","483,707.00","446,479.00","350,147.00","344,494.00","334,256.00","303,193.00","298,863.00","268,048.00","267,694.00","245,193.00","245,914.00","243,200.00","226,374.00","195,218.00","206,952.00","205,641.00","212,819.00","192,784.00","190,355.00","170,520.00","164,084.00","167,186.00","164,065.00","151,806.00","144,336.00","140,060.00","144,223.00",""
"BlackRock Sust Emerg Mkts Flex Bd Instl","","FSUSA08O57","0C000034YC","BlackRock","BN0000088H","BlackRock","2008-02-01","","2023-12-15","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging Markets Bond","No","No","No","","BlackRock Advisors LLC","United States","","No","","BlackRock Sust Emerg Mkts Flex Bd Cl K","Yes","BlackRock International Limited","Yes","Yes","","","-10,032,752.44","-346,232.48","-11,498,395.65","-938,218.95","-4,647,666.08","27,249,712.00","26,924,531.00","24,004,202.00","23,716,564.00","24,492,841.00","22,691,108.00","21,499,392.00","19,151,590.00","19,193,040.00","19,145,316.00","18,926,842.00","17,517,145.00","19,878,817.00","19,964,009.00","12,741,777.00","12,782,844.00","13,463,324.00","16,007,408.00","16,375,672.00","16,365,399.00","16,929,184.00","17,036,180.00","17,176,783.00","19,084,789.00","19,916,574.00","21,838,345.00","22,393,184.00","21,557,164.00","21,125,416.00","20,315,828.00","19,480,775.00","19,427,870.00","10,452,420.00","9,682,467.00","8,956,106.00","5,900,058.00","6,746,262.00","6,405,941.00","5,897,484.00","5,458,742.00","5,533,104.00","5,289,088.00","5,232,037.00","5,245,769.00","4,869,110.00","4,972,331.00","4,206,853.00","4,227,299.00","5,694,013.00","5,570,685.00","6,390,297.00","6,157,545.00","6,455,083.00","6,809,092.00","6,899,264.00","6,784,433.00","6,434,860.00","5,947,326.00","5,945,970.00",""
"BlackRock Sust Emerg Mkts Flex Bd Cl K","","FSUSA08O57","0C000034YC","BlackRock","BN0000088H","BlackRock","2008-02-01","","2023-12-15","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging Markets Bond","No","No","No","","BlackRock Advisors LLC","United States","","Yes","","BlackRock Sust Emerg Mkts Flex Bd Cl K","Yes","BlackRock International Limited","Yes","Yes","","","16,330,050.68","-33,445,502.12","-36,662,181.50","8,335,898.07","-27,127,458.69","67,787,207.00","67,410,076.00","66,108,616.00","65,473,488.00","67,150,985.00","68,759,635.00","81,839,285.00","77,100,730.00","76,378,280.00","75,794,338.00","75,103,275.00","83,882,233.00","84,956,604.00","86,918,888.00","79,925,862.00","81,224,074.00","86,202,008.00","65,672,319.00","68,023,674.00","67,422,657.00","56,418,606.00","57,002,139.00","58,396,103.00","60,036,630.00","59,129,329.00","58,185,129.00","56,151,582.00","56,215,452.00","56,909,336.00","47,563,599.00","30,728,271.00","20,733,256.00","20,321,020.00","21,134,447.00","20,030,835.00","19,161,847.00","9,462,869.00","27,943,622.00","28,109,393.00","26,626,883.00","26,877,080.00","25,161,737.00","25,300,713.00","24,973,356.00","23,447,439.00","23,385,774.00","24,989,487.00","25,091,874.00","25,909,743.00","24,948,854.00","25,536,145.00","25,638,479.00","25,251,141.00","25,962,244.00","26,508,517.00","25,746,272.00","24,730,577.00","24,441,466.00","25,733,450.00",""
"Western Asset Emerging Markets Dbt FI","","FSUSA003GH","0C00004AKN","Franklin Templeton Investments","BN000008U9","Franklin Templeton","2011-12-07","","2023-07-07","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging Markets Bond","No","No","No","","Legg Mason Partners Fund Advisor, LLC","United States","","No","","Western Asset Emerging Markets Dbt I","Yes","Western Asset Management Company Pte Ltd. – Singapore;Western Asset Management Company, LLC;Western Asset Management Company Limited;","No","No","","","18,098.99","291,106.67","-241,333.78","99,231.11","","137,103.00","136,930.00","136,878.00","137,253.00","137,312.00","141,491.00","141,068.00","143,171.00","140,088.00","163,648.00","163,161.00","166,563.00","163,044.00","88,255.00","76,032.00","78,038.00","82,367.00","83,003.00","60,807.00","109,164.00","168,172.00","280,050.00","445,605.00","477,649.00","514,383.00","524,969.00","517,074.00","532,306.00","530,734.00","525,721.00","522,876.00","529,537.00","514,764.00","291,435.00","214,072.00","216,342.00","209,564.00","147,713.00","107,723.00","102,795.00","118,117.00","91,129.00","94,034.00","85,482.00","65,443.00","65,049.00","70,751.00","284,204.00","73,827.00","57,577.00","37,780.00","38,310.00","38,026.00","37,711.00","","","","","",""
"Western Asset Emerging Markets Dbt A","","FSUSA003GH","0C00004AKN","Franklin Templeton Investments","BN000008U9","Franklin Templeton","2010-01-13","","2023-07-07","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging Markets Bond","No","No","No","","Legg Mason Partners Fund Advisor, LLC","United States","","No","","Western Asset Emerging Markets Dbt I","Yes","Western Asset Management Company Pte Ltd. – Singapore;Western Asset Management Company, LLC;Western Asset Management Company Limited;","No","No","","","-2,721,003.77","-3,272,744.23","-1,449,400.31","364,267.29","","11,018,340.00","11,097,915.00","11,100,717.00","11,047,960.00","11,093,896.00","11,492,613.00","11,812,441.00","11,547,737.00","11,411,676.00","11,343,473.00","11,320,596.00","9,308,006.00","8,697,359.00","8,162,941.00","6,878,506.00","6,805,925.00","7,155,494.00","6,834,438.00","6,797,150.00","6,310,827.00","6,145,674.00","6,122,576.00","6,393,112.00","6,456,143.00","6,187,820.00","4,903,994.00","4,496,555.00","5,053,352.00","5,117,190.00","7,314,098.00","7,364,229.00","7,495,526.00","7,269,166.00","7,314,678.00","6,901,667.00","6,865,230.00","6,616,845.00","6,253,553.00","6,059,579.00","5,797,856.00","5,805,481.00","5,226,049.00","5,361,976.00","5,594,416.00","5,046,761.00","5,107,147.00","5,526,004.00","6,053,459.00","6,223,320.00","6,112,383.00","6,020,760.00","6,003,861.00","5,931,680.00","5,365,535.00","","","","","",""
"Western Asset Emerging Markets Dbt C1","","FSUSA003GH","0C00004AKN","Franklin Templeton Investments","BN000008U9","Franklin Templeton","2010-09-02","","2019-08-15","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging Markets Bond","No","No","No","","Legg Mason Partners Fund Advisor, LLC","United States","","No","","Western Asset Emerging Markets Dbt I","Yes","Western Asset Management Company Pte Ltd. – Singapore;Western Asset Management Company, LLC;Western Asset Management Company Limited;","No","No","","","","","","","","180,385.00","181,762.00","182,781.00","183,104.00","183,702.00","190,068.00","902.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Asset Emerging Markets Dbt IS","","FSUSA003GH","0C00004AKN","Franklin Templeton Investments","BN000008U9","Franklin Templeton","2013-01-31","","2023-07-07","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging Markets Bond","No","No","No","","Legg Mason Partners Fund Advisor, LLC","United States","","No","","Western Asset Emerging Markets Dbt I","Yes","Western Asset Management Company Pte Ltd. – Singapore;Western Asset Management Company, LLC;Western Asset Management Company Limited;","No","No","","","-420,368.74","1,200,780.16","105,692.77","-1,252,985.96","","1,214,765.00","1,169,829.00","1,213,048.00","1,198,329.00","1,119,022.00","1,126,309.00","1,136,277.00","1,126,294.00","1,052,967.00","910,069.00","886,923.00","878,851.00","1,020,296.00","1,194,800.00","1,242,238.00","1,346,645.00","1,455,550.00","1,450,249.00","1,558,920.00","1,663,517.00","1,680,844.00","1,777,957.00","1,943,283.00","2,236,359.00","2,233,711.00","1,993,925.00","2,152,931.00","2,280,318.00","2,216,837.00","2,463,538.00","2,337,362.00","2,348,136.00","2,367,707.00","2,274,171.00","2,284,137.00","2,250,331.00","1,884,057.00","1,630,397.00","1,418,228.00","1,277,767.00","1,121,430.00","970,048.00","974,459.00","979,970.00","829,936.00","836,258.00","750,714.00","688,755.00","658,981.00","582,778.00","555,465.00","543,715.00","377,759.00","711,331.00","","","","","",""
"Aberdeen Asia Bond A","","FSUSA07Y6Y","0C00001HPJ","Aberdeen","BN00000N6Y","abrdn","2012-02-27","","2019-02-21","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging Markets Bond","No","No","No","","abrdn Inc.","United States","Adam McCabe;Kenneth Akintewe;Lin-Jing Leong;Thomas Drissner;","No","","Aberdeen Asia Bond Institutional","Yes","Abrdn Asia Limited","Yes","Yes","","","","","","","","71,435.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aberdeen Asia Bond C","","FSUSA07Y6Y","0C00001HPJ","Aberdeen","BN00000N6Y","abrdn","2012-02-27","","2019-02-21","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging Markets Bond","No","No","No","","abrdn Inc.","United States","Adam McCabe;Kenneth Akintewe;Lin-Jing Leong;Thomas Drissner;","No","","Aberdeen Asia Bond Institutional","Yes","Abrdn Asia Limited","Yes","Yes","","","","","","","","93,957.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aberdeen Asia Bond R","","FSUSA07Y6Y","0C00001HPJ","Aberdeen","BN00000N6Y","abrdn","2012-02-27","","2019-02-21","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging Markets Bond","No","No","No","","abrdn Inc.","United States","Adam McCabe;Kenneth Akintewe;Lin-Jing Leong;Thomas Drissner;","No","","Aberdeen Asia Bond Institutional","Yes","Abrdn Asia Limited","Yes","Yes","","","","","","","","10,796.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aberdeen Asia Bond Institutional Svcs","","FSUSA07Y6Y","0C00001HPJ","Aberdeen","BN00000N6Y","abrdn","2010-01-04","","2019-02-21","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging Markets Bond","No","No","No","","abrdn Inc.","United States","Adam McCabe;Kenneth Akintewe;Lin-Jing Leong;Thomas Drissner;","No","","Aberdeen Asia Bond Institutional","Yes","Abrdn Asia Limited","Yes","Yes","","","","","","","","113,359.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Quaker Event Arbitrage C","","FSUSA077IB","0C00001I37","Camelot Funds","BN00000CW1","Camelot Portfolios","2010-06-07","","2018-05-25","Merged","Camelot Event Driven A","US3520055084","","","","","Open-End Fund","Alternative","US Fund Event Driven","No","No","No","","Camelot Event-Driven Advisors, LLC","United States","Thomas F. Kirchner;Paul K. Hoffmeister;","No","EVDAX","Camelot Event Driven A","No","","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Water Island Event-Driven Fund C","","FSUSA0AYZJ","0C00001YYL","Arbitrage Fund","BN000007YG","Arbitrage Fund","2012-06-01","","2021-04-27","Liquidated","","","","","","","Open-End Fund","Alternative","US Fund Event Driven","No","No","No","","Water Island Capital LLC","United States","Gregory A. Loprete;Roger P. Foltynowicz;John S. Orrico;Matthew Osowiecki;","No","AEDNX","Water Island Event-Driven Fund I","No","","No","No","","","-251,463.63","-334,537.02","","","","883,981.00","850,265.00","851,829.00","836,246.00","794,160.00","790,052.00","886,635.00","885,971.00","811,680.00","788,148.00","708,575.00","662,110.00","391,928.00","384,255.00","363,204.00","366,581.00","369,305.00","359,955.00","357,497.00","362,540.00","354,286.00","365,986.00","360,914.00","370,305.00","374,742.00","417,302.00","415,135.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
